n;t_paso1;t_paso2;t_paso3
7;0,060400;1,762000;0,039600
97;0,065100;0,885300;0,042500
997;0,196500;3,900200;0,086100
9973;0,364400;6,658300;0,088900
99991;0,940000;8,064500;0,164600
999983;1,469300;5,069700;0,148300
9999991;2,691700;5,054800;0,385800
99999989;8,449900;8,218100;0,184700
999999937;12,982900;8,405700;0,103400
9999999967;24,941200;14,047700;0,272100
99999999977;76,822800;18,192700;0,241300
999999999989;159,359500;26,035900;0,229200
9999999999971;664,212900;27,198100;0,340400
99999999999973;1723,450400;18,868900;0,519100
999999999999989;5424,919800;25,255000;0,358700
9999999999999937;17172,484700;35,678400;0,411900
99999999999999997;54256,556600;41,802900;0,311100
999999999999999989;176533,350200;62,247200;0,369700
9999999999999999961;605374,293100;69,286000;0,702200
