n;t_paso1;t_paso2;t_paso3;t_paso5
983;0,230300;4,233200;0,112800;97,651300
821;0,243700;4,850500;0,066300;82,773100
719;0,221500;1,655700;0,104200;49,945900
599;0,132200;1,032700;0,104200;25,490500
719;0,079100;0,803100;0,047800;49,399400
773;0,080700;0,385100;0,031200;11,475700
859;0,045100;0,367400;0,036000;23,407700
563;0,336000;1,094500;0,030500;11,007100
1021;0,049100;0,624800;0,075600;33,026200
761;0,067400;0,438800;0,036100;17,503400
631;0,056900;0,237600;0,046100;7,194800
617;0,048500;0,161500;0,070100;6,697000
719;0,020700;0,382900;0,166300;39,584700
907;0,036600;0,379900;0,080400;15,820700
571;0,078400;0,127700;0,013900;8,287700
809;0,023500;0,152500;0,012700;14,736100
571;0,022100;0,075600;0,009600;7,102100
619;0,050400;0,115200;0,012100;6,306800
683;0,055600;0,244700;0,014200;33,464300
653;0,051900;0,159500;0,012400;13,326600
883;0,040600;0,169200;0,015200;27,788800
719;0,022100;0,199300;0,017700;36,358700
599;0,022800;0,133200;0,011500;14,292900
719;0,023400;0,253600;0,016400;35,108400
577;0,051300;0,141400;0,017500;8,334600
647;0,020400;0,160900;0,013900;31,411700
829;0,022400;0,127300;0,014100;33,586800
641;0,022100;0,140900;0,014900;8,539200
631;0,021100;0,067700;0,009700;6,458100
797;0,026100;0,074000;0,010300;7,701400
773;0,033100;0,102200;0,009300;9,513100
557;0,021300;0,093700;0,009400;6,009800
827;0,023900;0,126900;0,012900;26,290600
719;0,022000;0,184000;0,015000;38,624400
947;0,044100;0,303000;0,017600;17,976800
887;0,061800;1,349300;0,040800;49,910500
877;0,080500;0,341800;0,018500;54,270400
941;0,030600;0,159000;0,029400;19,672800
739;0,024300;0,142000;0,026100;14,980300
947;0,045000;0,283500;0,015100;16,470200
823;0,034900;0,122000;0,011000;17,404800
641;0,028700;0,109000;0,011600;8,107700
1009;0,039100;0,154200;0,012000;22,496500
619;0,045600;0,123200;0,009500;10,491000
541;0,019500;0,087500;0,010900;13,601500
769;0,053600;0,075000;0,013500;7,903300
709;0,019400;0,059600;0,024000;8,641000
761;0,021100;0,145200;0,023000;17,538000
733;0,037800;0,215400;0,030700;8,012800
577;0,057900;0,079400;0,009400;8,572000
1889;0,041700;0,139300;0,013100;40,344100
1627;0,028200;0,108600;0,010400;18,477100
1997;0,031300;0,108300;0,011700;25,042100
1433;0,033600;0,328400;0,017000;77,345300
1223;0,038400;0,147000;0,024000;37,907400
1151;0,022200;0,200900;0,025300;47,725900
1459;0,047000;0,193800;0,016700;49,790600
1877;0,058900;0,152500;0,014400;22,837600
1693;0,041000;0,140700;0,017100;26,726900
1987;0,042400;0,144100;0,022200;21,867700
1039;0,030400;0,189100;0,016000;63,791700
1151;0,016800;0,169700;0,015200;54,103600
1877;0,036200;0,148900;0,014600;21,054200
1327;0,018200;0,137700;0,013500;37,588300
1823;0,020400;0,192400;0,019400;60,432500
1621;0,019300;0,073100;0,010500;20,165400
1669;0,020100;0,176500;0,014100;51,477400
1759;0,081400;0,178000;0,030800;25,844500
1151;0,035100;0,177500;0,031500;50,733600
1181;0,017400;0,111400;0,011300;15,642300
1319;0,017600;0,147200;0,018800;16,699200
2027;0,021300;0,102200;0,010900;20,142100
1669;0,019400;0,191900;0,014500;49,623600
1123;0,019100;0,106900;0,010600;19,179600
1499;0,019900;0,094100;0,011300;20,734000
1259;0,019200;0,131900;0,013800;45,605200
1619;0,019500;0,168500;0,014800;58,121700
1213;0,018800;0,164400;0,014800;42,705400
1811;0,020200;0,118600;0,013400;23,882900
1951;0,042500;0,080600;0,010300;21,394200
1487;0,080900;0,119500;0,010600;17,808000
1571;0,035700;0,176200;0,015700;24,094000
1567;0,031100;0,118000;0,014400;22,962400
1861;0,031400;0,192600;0,030100;57,620100
1567;0,048900;0,216700;0,025600;23,311300
1447;0,123200;0,253800;0,010700;22,207000
1439;0,046500;0,104500;0,014300;19,567300
1787;0,018800;0,108200;0,011200;23,807100
1367;0,053100;0,193900;0,011500;22,879300
1511;0,017200;0,068600;0,010800;19,977800
1223;0,026000;0,223200;0,020900;38,833400
1481;0,021300;0,125800;0,010900;18,854200
1543;0,028300;0,128400;0,015000;27,677200
1213;0,044500;0,232400;0,014100;48,788200
1217;0,016800;0,188300;0,014000;53,894600
1601;0,018400;0,240300;0,016800;87,548300
1193;0,016600;0,269400;0,016200;80,459700
1871;0,045900;0,074700;0,010600;22,878000
1607;0,017700;0,305000;0,065000;147,316000
1861;0,019800;0,140600;0,022200;61,347700
4093;0,025700;0,138000;0,011700;67,121800
2957;0,035500;0,251100;0,016900;70,424500
3083;0,042500;0,245400;0,024100;72,605600
2801;0,012700;0,181700;0,014600;61,017500
2689;0,019100;0,384400;0,015100;69,789200
3557;0,023900;0,182700;0,015800;53,162000
2953;0,012200;0,152200;0,011600;73,613000
3557;0,020300;0,245900;0,019000;54,309700
3301;0,069700;0,172800;0,009400;80,642000
2549;0,011100;0,150400;0,018700;66,112100
2857;0,021800;0,153800;0,010300;70,110600
3019;0,020200;0,438300;0,014400;70,214400
2389;0,011800;0,192500;0,009100;56,060000
3919;0,014000;0,172800;0,008700;66,436800
2617;0,011200;0,081900;0,006800;27,638300
3373;0,012700;0,175800;0,008300;62,080100
2689;0,011600;0,165900;0,008500;56,031000
3919;0,013800;0,148600;0,008500;67,083600
3559;0,014300;0,219100;0,009800;76,820900
2939;0,012600;0,184400;0,008600;60,989800
3613;0,012400;0,114600;0,008100;45,757400
2683;0,021800;0,110500;0,007200;24,546100
2309;0,022400;0,250800;0,013900;45,008100
2083;0,010900;0,163200;0,015800;64,588400
3271;0,012500;0,113500;0,008200;58,030800
2503;0,012100;0,162900;0,008900;48,732400
2957;0,029700;0,231000;0,009100;82,412500
2707;0,015700;0,203100;0,010300;98,479800
3221;0,012300;0,100900;0,008100;44,678000
3433;0,012200;0,144300;0,008700;62,748400
3083;0,012600;0,195400;0,009200;69,418400
3167;0,012800;0,125000;0,007900;48,022100
3863;0,013100;0,127300;0,007900;51,962100
2647;0,069000;0,099300;0,011100;29,761400
3433;0,012300;0,139300;0,008700;65,354400
3833;0,012200;0,128700;0,007800;54,196400
3347;0,033900;0,189900;0,014100;53,711000
2887;0,027800;0,140900;0,008700;62,839500
2347;0,011300;0,138300;0,007700;29,390200
3637;0,013200;0,129000;0,008900;81,119200
3517;0,013000;0,163200;0,008400;50,845200
2861;0,029500;0,160000;0,010000;90,983900
3049;0,025400;0,140900;0,007800;45,968700
3691;0,032200;0,296200;0,029600;146,400400
2389;0,010800;0,172600;0,008600;65,698900
3169;0,011500;0,121600;0,008100;47,780200
4013;0,012800;0,122500;0,008500;60,709400
2477;0,010200;0,183800;0,007700;52,211500
3733;0,012300;0,237600;0,010100;100,151800
2549;0,011100;0,147400;0,008900;65,058700
5657;0,014300;0,210700;0,010700;174,558300
7789;0,015700;0,201800;0,010300;147,368500
7321;0,016400;0,323000;0,013600;351,234600
4517;0,020400;0,482800;0,033700;73,965200
5209;0,022900;0,516400;0,016000;124,921700
5987;0,014300;0,310600;0,023100;170,682300
5557;0,074900;0,282500;0,010800;79,173800
5393;0,013700;0,155300;0,008800;79,894400
6091;0,015200;0,153300;0,040600;104,144400
7307;0,016000;0,251300;0,032400;127,476900
6373;0,014700;0,171700;0,005200;135,926700
7583;0,027000;0,573900;0,006300;254,868500
4219;0,012600;0,174700;0,004700;75,040800
6287;0,015300;0,227500;0,005600;163,331000
6007;0,014800;0,401700;0,008500;87,530300
4441;0,013400;0,121300;0,004400;67,445400
6037;0,023300;0,327600;0,005100;131,328100
6211;0,018700;0,166600;0,004900;112,896100
5351;0,014300;0,153000;0,004800;84,757600
6967;0,015800;0,189200;0,004900;116,167100
7297;0,015500;0,144100;0,007300;92,868700
8039;0,015600;0,195900;0,005400;143,015700
4549;0,012900;0,119700;0,005400;53,121600
6869;0,015000;0,166000;0,004500;77,464800
5087;0,013900;0,167200;0,005000;55,284000
6551;0,015600;0,239000;0,006200;166,506200
4283;0,012800;0,149600;0,004400;66,937100
4903;0,013700;0,150600;0,004200;54,987200
4409;0,013200;0,118100;0,004200;69,823800
6679;0,014800;0,195000;0,004900;117,321300
5581;0,035600;0,202800;0,004600;92,349000
4219;0,012200;0,174700;0,005100;79,892400
5647;0,014400;0,157200;0,004400;78,557600
7129;0,015100;0,128900;0,004500;90,732200
6829;0,015200;0,227700;0,005700;186,366500
4297;0,012600;0,132100;0,004000;53,679800
5563;0,015200;0,132900;0,004300;57,140700
4591;0,039000;0,258100;0,004700;83,905600
4957;0,013000;0,147300;0,004800;83,565500
4243;0,013000;0,198600;0,004700;78,402900
7951;0,033900;0,625400;0,014700;555,313400
7873;0,015700;0,200800;0,005100;148,554600
6599;0,015100;0,167900;0,005000;92,863800
5413;0,033300;0,356700;0,006100;213,731200
6899;0,015600;0,206900;0,004700;80,161300
6217;0,029600;0,175000;0,004600;80,607000
4969;0,025500;1,151500;0,006300;209,750100
6091;0,014800;0,150100;0,004700;86,690500
5477;0,014000;0,166900;0,004500;74,736500
6691;0,015900;0,200500;0,005500;91,290100
13411;0,019200;0,211500;0,005500;214,182900
12511;0,019800;0,224600;0,006700;204,923900
12109;0,023400;0,200900;0,005000;144,094600
13613;0,019500;0,243700;0,005200;147,971800
11831;0,018400;0,184400;0,005500;193,341800
12983;0,019200;0,214300;0,005100;146,626900
9349;0,017200;0,228900;0,008000;101,947200
8423;0,016400;0,206800;0,004900;128,856800
9103;0,016100;0,166800;0,004500;97,337500
10733;0,017100;0,191300;0,017700;105,768300
8663;0,016100;0,191400;0,004300;118,652100
14197;0,028600;0,247300;0,006400;340,157700
16253;0,034900;0,189300;0,014300;145,434400
12829;0,019200;0,186200;0,005100;150,560700
10069;0,017300;0,198000;0,005200;135,067800
8951;0,030500;0,427100;0,008500;87,657800
15601;0,020100;0,193800;0,005600;150,016700
11731;0,018000;0,185900;0,005800;197,951600
12487;0,019300;0,293200;0,005700;218,740000
15359;0,021900;0,388800;0,017000;533,720600
13309;0,019300;0,311200;0,007500;289,895300
11939;0,019200;0,243900;0,005600;200,404600
13399;0,019400;0,255900;0,006300;286,691600
14071;0,019200;0,188400;0,005500;206,186900
13177;0,018800;0,282500;0,005600;210,680900
9547;0,017300;0,342700;0,007700;281,007700
10433;0,016800;0,265000;0,005600;153,728300
9461;0,016800;0,186400;0,005800;192,927900
13121;0,018200;0,229700;0,006100;283,304600
16193;0,020400;0,338300;0,007100;445,287700
13799;0,020200;0,224800;0,005600;214,949500
9787;0,017100;0,236600;0,004500;104,561400
9619;0,017300;0,132000;0,004800;102,686400
8863;0,016700;0,190500;0,004600;84,963900
8867;0,016300;0,172200;0,004400;84,945400
8629;0,029700;0,171500;0,004600;89,310100
10357;0,017100;0,223000;0,005700;193,030100
12289;0,018600;0,254900;0,005200;144,156000
10103;0,017400;0,290700;0,005400;135,719700
9539;0,016900;0,191200;0,004900;132,510300
14293;0,044800;0,180600;0,005200;160,390400
9781;0,044300;0,227600;0,004700;99,480800
14867;0,036000;0,181700;0,005400;148,361800
10939;0,018100;0,238500;0,005500;140,503200
10711;0,036800;0,544200;0,010100;220,534500
14347;0,020100;0,316600;0,006400;279,408200
10009;0,048700;0,274500;0,005200;102,397200
12479;0,018400;0,288300;0,006200;273,715900
16127;0,021200;0,716600;0,009900;1306,390500
12907;0,018600;0,167400;0,005000;148,128200
22031;0,023400;0,255300;0,006100;328,791700
30391;0,026100;0,256100;0,005600;263,820000
25367;0,048400;0,556200;0,012300;249,084200
27197;0,025500;0,301700;0,006200;266,273600
26561;0,025600;0,309400;0,006000;253,597900
19267;0,021400;0,336800;0,006400;316,071800
19421;0,022200;0,316900;0,006500;327,943800
18541;0,021500;0,487800;0,008700;892,275700
16553;0,020600;0,405000;0,006400;311,538900
23677;0,472200;0,288100;0,005900;251,925700
25339;0,024500;0,250000;0,005900;251,776900
24781;0,024200;0,393500;0,007500;642,283600
26879;0,051800;0,471300;0,010500;261,798000
16759;0,021900;0,419100;0,007700;572,395000
26681;0,025700;0,203000;0,005800;256,486300
24533;0,024100;0,399400;0,006900;485,832200
19889;0,022400;0,200800;0,005600;233,926200
20359;0,022200;0,380100;0,007200;568,813000
29303;0,035500;0,241100;0,006700;358,784100
20297;0,022300;0,271200;0,005600;252,223300
23497;0,024700;0,420400;0,005700;264,026000
17291;0,034500;0,566200;0,008700;659,769000
21841;0,022900;0,281300;0,005800;236,642100
20219;0,022300;0,341600;0,006200;231,887600
27883;0,033600;0,432000;0,010700;264,562100
22993;0,051200;0,313600;0,006300;331,111000
26597;0,025600;0,679700;0,007300;344,592300
16747;0,020500;0,226000;0,005300;154,709400
25609;0,024500;0,522200;0,007600;619,464300
17027;0,020800;0,224100;0,005000;157,890900
29753;0,026900;0,422500;0,005700;264,757400
31051;0,100100;0,409900;0,006800;411,847000
26017;0,033700;0,374500;0,006400;371,137200
27823;0,025200;0,253800;0,005600;265,343900
17477;0,023700;0,260900;0,004800;156,719800
22159;0,022600;0,252100;0,005700;237,610200
18089;0,021500;0,291800;0,007500;576,657200
17509;0,021000;0,221000;0,005500;223,193300
19051;0,022300;0,787600;0,011000;1344,088200
24337;0,026100;0,418500;0,007200;367,469500
28211;0,033400;0,385600;0,007400;661,904000
26737;0,025200;0,304200;0,007700;363,887500
30133;0,030000;0,581000;0,010900;373,430000
29027;0,048200;0,457400;0,013100;615,679000
17387;0,018200;0,183000;0,004800;192,080200
24019;0,035500;0,458500;0,006400;329,092200
27031;0,022200;0,473000;0,007800;995,048100
26947;0,139900;0,320600;0,011700;353,480900
25717;0,045100;0,276900;0,019900;256,797300
25367;0,020500;0,327900;0,005000;254,085300
56401;0,028400;0,281300;0,005800;427,476300
48473;0,039900;0,378200;0,005400;407,523700
33179;0,023900;0,506600;0,006300;643,722600
63199;0,030600;0,394000;0,006600;647,988500
64793;0,089400;0,511200;0,009600;837,958200
54121;0,028400;0,223900;0,005500;441,818400
37747;0,026300;0,730700;0,009200;1667,865800
39779;0,024900;0,368200;0,009600;380,991600
43159;0,027500;0,397900;0,006700;389,716000
40433;0,024700;0,278400;0,005500;385,898500
40087;0,024900;0,377200;0,006900;432,851200
55663;0,028800;0,343000;0,007000;475,934000
62017;0,031200;0,405500;0,006600;814,263700
53617;0,027800;0,268500;0,005800;487,981800
57559;0,032300;0,344500;0,005600;451,612800
52163;0,037700;0,547400;0,007800;1164,697200
34667;0,024600;0,355600;0,006000;377,923400
53993;0,027600;0,288800;0,005500;411,331300
35317;0,023400;0,320300;0,005700;474,951200
33547;0,024100;0,436500;0,006700;658,336000
34603;0,023900;0,391300;0,006400;558,097600
37871;0,044900;0,362300;0,006500;374,987900
42509;0,025600;0,348400;0,006200;612,891000
48679;0,028700;0,354900;0,006800;715,543300
38651;0,032000;0,322200;0,005500;385,137900
57571;0,028100;0,388100;0,007900;618,475300
40787;0,025900;0,393700;0,015700;402,475900
46237;0,027400;0,365600;0,005500;391,952400
58831;0,028000;0,271500;0,005900;442,082300
57059;0,029900;0,480100;0,009900;433,837000
59107;0,029300;0,367200;0,005600;472,678300
64033;0,030800;0,564000;0,009200;499,199700
47129;0,035900;0,338700;0,005500;414,485000
57073;0,030800;0,407300;0,007200;816,780600
47363;0,026800;0,371800;0,006300;594,108500
52189;0,046100;0,462900;0,007000;419,033200
42577;0,025600;0,330100;0,005500;391,818200
38153;0,026300;0,377800;0,005300;382,399500
60733;0,041900;0,335600;0,007200;652,961200
61979;0,086000;0,540300;0,006500;751,890400
46147;0,026500;0,404800;0,005700;441,465900
48163;0,050200;0,820800;0,010200;605,049300
34667;0,044800;0,567200;0,010400;396,669700
41257;0,025900;0,495300;0,007500;1099,178500
44389;0,027100;0,361800;0,007000;736,219300
54907;0,107700;0,572100;0,010100;428,583700
39791;0,024500;0,433600;0,006700;687,823600
44071;0,026500;0,474700;0,009300;949,561700
59699;0,032300;0,460700;0,015100;648,164200
36767;0,068000;0,459500;0,005700;388,732700
114269;0,038500;0,437800;0,007700;918,044000
66931;0,033200;0,631800;0,008000;1950,754700
120737;0,040600;0,489200;0,007100;1123,827300
104693;0,037200;0,513600;0,006500;1135,030000
126859;0,084800;0,513400;0,006500;1092,983100
94531;0,035900;0,411200;0,006600;838,360000
75353;0,032900;0,472500;0,006500;980,096700
83719;0,034700;0,403800;0,007600;1649,849200
86323;0,035300;0,663800;0,008500;1977,054300
116329;0,038900;0,410100;0,006700;1050,166900
109433;0,039600;0,391300;0,007200;1043,893600
93239;0,045200;0,939200;0,008100;2069,796700
109391;0,038600;0,500500;0,008000;1643,056700
113287;0,038600;0,354100;0,006200;856,466200
81097;0,040500;0,423400;0,007100;1399,906700
103007;0,040400;0,329400;0,015700;851,287100
116681;0,040900;0,433500;0,006200;872,783000
84967;0,034700;0,365600;0,006300;818,628200
88853;0,036100;0,538300;0,007600;834,337000
121327;0,059300;0,445200;0,006300;876,774300
81031;0,034300;0,341300;0,006400;828,371300
83719;0,035500;0,412000;0,007900;1617,542300
130211;0,050700;0,309800;0,006600;1059,425300
87481;0,035800;0,314600;0,006700;859,421900
107473;0,038100;0,549700;0,007700;1716,563300
125131;0,058700;0,427300;0,007400;1495,409000
80953;0,102800;0,576400;0,006700;1135,347900
90227;0,034900;0,635600;0,007700;1614,493300
68311;0,030300;0,362700;0,007800;1507,425200
69221;0,031400;0,640400;0,011200;920,462500
126493;0,040500;0,437800;0,006500;1060,434100
112207;0,124600;0,708200;0,007900;1651,075000
88807;0,036100;0,300300;0,006800;841,623000
84067;0,043800;0,558600;0,015800;1035,297300
79613;0,033800;0,421700;0,006600;958,859300
128549;0,041200;0,632400;0,008300;2115,760400
96857;0,045400;0,502200;0,006600;1078,585700
119551;0,040800;0,604900;0,008800;2256,187900
117361;0,040900;0,354400;0,006500;865,968400
107873;0,071300;1,087800;0,007600;1631,632600
99581;0,038200;0,646400;0,008800;2629,754300
123217;0,039700;0,524000;0,007300;1641,153400
88463;0,034300;0,440300;0,006500;988,241200
87491;0,035700;0,829600;0,009300;3000,570800
115309;0,039300;0,467900;0,006300;851,172400
79687;0,032700;0,371800;0,006700;1076,944300
121333;0,039200;0,332400;0,006200;857,400700
104369;0,037000;0,384700;0,006200;825,736400
86017;0,034900;0,934900;0,009600;1914,558700
73063;0,041800;0,467500;0,008200;1837,455300
157049;0,044400;1,557900;0,006500;1069,523600
259537;0,086300;1,748900;0,024000;1876,756500
134873;0,041800;0,646300;0,006800;1073,818900
180463;0,112000;1,816500;0,014700;2313,085500
219217;0,075800;0,877900;0,007700;1862,841700
232117;0,052700;1,320400;0,009900;4480,673200
254869;0,063800;0,614700;0,008100;2351,814100
251533;0,060000;0,467500;0,007700;1887,466800
154159;0,045700;0,429300;0,007300;1506,248400
204461;0,060200;0,602900;0,007900;1820,951700
160309;0,046400;0,347000;0,006800;1078,124600
199403;0,050100;0,523100;0,006800;1212,659900
193507;0,051500;0,564700;0,016400;1890,647200
197597;0,048200;0,471500;0,007200;1221,021000
144139;0,044000;0,497000;0,007200;1486,331100
177347;0,046900;0,618400;0,008000;2333,594100
149033;0,047800;0,550500;0,007600;1233,340800
215153;0,055400;0,837500;0,010900;3105,410300
185467;0,058600;0,593400;0,012000;1234,362300
243647;0,063000;0,525200;0,007600;1882,736400
203383;0,050200;0,421600;0,006600;1219,150600
134371;0,044500;0,608400;0,008300;2089,142900
158231;0,044800;0,512400;0,006700;1191,438900
171047;0,090300;0,625000;0,007600;1816,672200
192013;0,057500;0,461500;0,007200;1563,876900
160907;0,043100;0,433500;0,006400;1069,785600
234527;0,060800;0,726700;0,007800;1852,186300
140123;0,052000;0,657000;0,007400;1717,850300
199207;0,051400;0,384500;0,016200;1539,238900
133499;0,046200;0,525200;0,007400;1436,780600
193507;0,057800;0,506000;0,007500;1823,481100
162007;0,047800;0,352100;0,006900;1082,348600
202627;0,061700;0,737200;0,007600;1797,493500
191747;0,048000;0,665500;0,008000;2296,904900
228443;0,061600;0,645600;0,007500;1573,950200
183191;0,048300;0,516700;0,008300;1188,244000
250643;0,064600;0,832100;0,009000;1904,171300
212897;0,050100;0,564000;0,007700;1899,891800
241651;0,063700;0,649800;0,009700;3596,603800
238009;0,063100;0,561500;0,008200;2299,835800
169243;0,047300;0,451900;0,006500;1167,213900
151841;0,043800;0,466700;0,007200;1521,225000
174329;0,046200;0,338600;0,007000;1168,538700
165587;0,044800;0,715400;0,008900;1534,544200
174527;0,050200;0,787100;0,019900;3493,476800
220529;0,053100;0,556300;0,008200;2294,634900
166847;0,044900;0,403400;0,006400;1123,309100
222311;0,130100;0,776000;0,010900;3006,135600
131543;0,042700;0,443100;0,007600;1658,934300
232907;0,057800;0,688700;0,008000;2306,932400
499483;0,076100;0,752200;0,008000;2661,955100
274147;0,114900;0,975700;0,008300;2358,107000
264731;0,056300;0,831100;0,009300;3787,164200
442229;0,077300;0,752400;0,011400;2148,801200
327023;0,081400;0,887900;0,009300;3768,444100
521063;0,106700;0,704100;0,009100;3530,103900
497671;0,104700;0,675300;0,009700;4193,332900
394637;0,067900;0,588400;0,007500;2043,573100
353767;0,065600;0,942300;0,011400;3980,471000
323441;0,060800;0,457500;0,007400;1974,296200
377617;0,065600;0,568100;0,007600;2060,621900
448843;0,071000;0,557400;0,007900;2078,298300
489913;0,074100;0,762400;0,009400;3998,247800
320179;0,060000;0,651700;0,008000;2445,867800
316223;0,067200;0,588600;0,007600;1992,145000
440183;0,081300;0,666900;0,007700;2055,337900
413681;0,068100;0,723000;0,009300;3898,017100
494521;0,078400;0,584500;0,009100;3497,097100
346421;0,061200;0,643700;0,007800;2055,453900
342607;0,067600;0,469700;0,007600;1998,189200
267199;0,055600;0,528800;0,007800;1912,913000
510707;0,074300;0,801200;0,009600;3984,445000
425377;0,135700;0,571500;0,010200;2099,330300
492617;0,072300;0,789400;0,011300;3968,672300
422797;0,068200;0,917400;0,008900;3407,105000
411127;0,066900;0,761100;0,009000;3412,346000
472333;0,072200;0,822900;0,008900;3480,257700
495899;0,089400;0,663000;0,009400;4046,508200
481093;0,127500;0,709300;0,008800;2879,325100
496229;0,091800;0,786700;0,008300;2927,773600
424423;0,073200;0,833000;0,011600;6567,190900
305933;0,189400;0,943300;0,009300;3292,675000
334349;0,060300;0,631800;0,008200;2574,033500
455053;0,081700;1,001200;0,009500;2313,440700
518099;0,086100;0,602200;0,009600;2839,558500
375709;0,071100;1,715300;0,010400;3943,870500
462589;0,077500;0,621100;0,008300;2654,805900
283813;0,116100;1,763000;0,016800;3616,536600
422077;0,077000;0,668100;0,007700;2388,397700
480343;0,115600;1,347600;0,018000;4568,238500
326593;0,061000;0,409900;0,007500;1714,747200
444167;0,071000;0,677400;0,007900;2068,091000
325459;0,061300;0,491700;0,008000;2471,065300
479581;0,077800;0,785900;0,008900;3520,232200
426697;0,081400;0,694600;0,008200;2590,623600
374837;0,078600;0,639400;0,009700;2589,856700
512047;0,089100;0,746800;0,009800;2626,392600
364961;0,065500;1,570800;0,008300;2569,568600
493627;0,092600;0,629100;0,008300;2624,779500
485161;0,085400;0,863700;0,010900;7199,216500
878291;0,098400;0,920100;0,010300;6407,304800
603557;0,083900;0,642300;0,008400;2729,204100
655289;0,083700;0,950800;0,009700;4984,962800
988231;0,101600;0,761900;0,008900;3970,012700
743363;0,089300;0,600500;0,008200;2907,203300
596489;0,081400;0,911400;0,009900;4957,786100
760103;0,094000;0,925600;0,020000;5719,046400
981569;0,139500;1,169700;0,010700;4219,378400
1030741;0,102900;0,947400;0,009900;4918,503400
704393;0,085900;0,733200;0,009200;3734,031400
703657;0,176400;1,313400;0,015200;2872,163700
953039;0,193200;1,340400;0,015000;4037,261100
822713;0,101000;0,782700;0,009000;3890,125700
815453;0,169900;1,292700;0,016300;3868,242700
846397;0,095000;1,197300;0,012600;6443,198500
846403;0,097000;1,023000;0,010400;5656,237600
601439;0,082800;0,629900;0,008300;2722,520200
951641;0,101600;0,689000;0,008900;3939,249000
806041;0,096400;0,704700;0,008900;3902,685200
554899;0,079000;0,686700;0,008900;3550,742700
670627;0,084400;0,840700;0,009500;5055,076000
541027;0,086700;0,864800;0,009200;3524,719400
